id,nome,categoria,tempo_secondi,ingredienti,prodotti,macchine
flying-robot-frame,Flying robot frame,Intermediate products,20,Electric engine unit x1; Battery x2; Steel plate x1; Electronic circuit x3,Flying robot frame x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
low-density-structure,Low density structure,Intermediate products,15,Steel plate x2; Copper plate x20; Plastic bar x5,Low density structure x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rocket-fuel,Rocket fuel,Intermediate products,15,Solid fuel x10; Light oil x10,Rocket fuel x1,assembling-machine-2; assembling-machine-3
rocket-part,Rocket part,Intermediate products,3,Processing unit x10; Low density structure x10; Rocket fuel x10,Rocket part x1,rocket-silo
uranium-processing,Uranium processing,Intermediate products,12,Uranium ore x10,Uranium-235 x0.007000000000000001; Uranium-238 x0.993,centrifuge
depleted-uranium-fuel-cell,Uranium fuel cell : Depleted uranium fuel cell,Intermediate products,1,Uranium fuel cell x0,Depleted uranium fuel cell x0,nuclear-reactor
uranium-fuel-cell,Uranium fuel cell,Intermediate products,10,Iron plate x10; Uranium-235 x1; Uranium-238 x19,Uranium fuel cell x10,assembling-machine-1; assembling-machine-2; assembling-machine-3
nuclear-fuel-reprocessing,Nuclear fuel reprocessing,Intermediate products,60,Depleted uranium fuel cell x5,Uranium-238 x3,centrifuge
kovarex-enrichment-process,Kovarex enrichment process,Intermediate products,60,Uranium-235 x40; Uranium-238 x5,Uranium-235 x41; Uranium-238 x2,centrifuge
nuclear-fuel,Nuclear fuel,Intermediate products,90,Uranium-235 x1; Rocket fuel x1,Nuclear fuel x1,centrifuge
automation-science-pack,Automation science pack,Intermediate products,5,Copper plate x1; Iron gear wheel x1,Automation science pack x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
logistic-science-pack,Logistic science pack,Intermediate products,6,Inserter x1; Transport belt x1,Logistic science pack x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
military-science-pack,Military science pack,Intermediate products,10,Piercing rounds magazine x1; Grenade x1; Wall x2,Military science pack x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
chemical-science-pack,Chemical science pack,Intermediate products,24,Engine unit x2; Advanced circuit x3; Sulfur x1,Chemical science pack x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
production-science-pack,Production science pack,Intermediate products,21,Electric furnace x1; Productivity module x1; Rail x30,Production science pack x3,assembling-machine-1; assembling-machine-2; assembling-machine-3
utility-science-pack,Utility science pack,Intermediate products,21,Low density structure x3; Processing unit x2; Flying robot frame x1,Utility science pack x3,assembling-machine-1; assembling-machine-2; assembling-machine-3
space-science-pack,Rocket silo : Space science pack,Intermediate products,40.6,Satellite x1; Rocket part x100,Space science pack x1000,rocket-silo
submachine-gun,Submachine gun,Combat,10,Iron gear wheel x10; Copper plate x5; Iron plate x10,Submachine gun x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
shotgun,Shotgun,Combat,10,Iron plate x15; Iron gear wheel x5; Copper plate x10; Wood x5,Shotgun x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
combat-shotgun,Combat shotgun,Combat,10,Steel plate x15; Iron gear wheel x5; Copper plate x10; Wood x10,Combat shotgun x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rocket-launcher,Rocket launcher,Combat,10,Iron plate x5; Iron gear wheel x5; Electronic circuit x5,Rocket launcher x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
flamethrower,Flamethrower,Combat,10,Steel plate x5; Iron gear wheel x10,Flamethrower x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
firearm-magazine,Firearm magazine,Combat,1,Iron plate x4,Firearm magazine x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
piercing-rounds-magazine,Piercing rounds magazine,Combat,6,Firearm magazine x2; Steel plate x1; Copper plate x2,Piercing rounds magazine x2,assembling-machine-1; assembling-machine-2; assembling-machine-3
uranium-rounds-magazine,Uranium rounds magazine,Combat,10,Piercing rounds magazine x1; Uranium-238 x1,Uranium rounds magazine x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
shotgun-shell,Shotgun shells,Combat,3,Copper plate x2; Iron plate x2,Shotgun shells x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
piercing-shotgun-shell,Piercing shotgun shells,Combat,8,Shotgun shells x2; Copper plate x5; Steel plate x2,Piercing shotgun shells x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
cannon-shell,Cannon shell,Combat,8,Steel plate x2; Plastic bar x2; Explosives x1,Cannon shell x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
explosive-cannon-shell,Explosive cannon shell,Combat,8,Steel plate x2; Plastic bar x2; Explosives x2,Explosive cannon shell x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
uranium-cannon-shell,Uranium cannon shell,Combat,12,Cannon shell x1; Uranium-238 x1,Uranium cannon shell x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
explosive-uranium-cannon-shell,Explosive uranium cannon shell,Combat,12,Explosive cannon shell x1; Uranium-238 x1,Explosive uranium cannon shell x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
artillery-shell,Artillery shell,Combat,15,Explosive cannon shell x4; Radar x1; Explosives x8,Artillery shell x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
rocket,Rocket,Combat,4,Explosives x1; Iron plate x2,Rocket x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
explosive-rocket,Explosive rocket,Combat,8,Rocket x1; Explosives x2,Explosive rocket x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
atomic-bomb,Atomic bomb,Combat,50,Processing unit x10; Explosives x10; Uranium-235 x30,Atomic bomb x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
flamethrower-ammo,Flamethrower ammo,Combat,6,Steel plate x5; Crude oil x100,Flamethrower ammo x1,chemical-plant
grenade,Grenade,Combat,8,Iron plate x5; Coal x10,Grenade x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
cluster-grenade,Cluster grenade,Combat,8,Grenade x7; Explosives x5; Steel plate x5,Cluster grenade x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
poison-capsule,Poison capsule,Combat,8,Steel plate x3; Electronic circuit x3; Coal x10,Poison capsule x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
slowdown-capsule,Slowdown capsule,Combat,8,Steel plate x2; Electronic circuit x2; Coal x5,Slowdown capsule x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
defender-capsule,Defender capsule,Combat,8,Piercing rounds magazine x3; Electronic circuit x3; Iron gear wheel x3,Defender capsule x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
distractor-capsule,Distractor capsule,Combat,15,Defender capsule x4; Advanced circuit x3,Distractor capsule x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
